Stellar_Type,Mass,Luminosity,Radius,Temp,Color_Index,Abs_Mag,Bolo_Mag
F4Ia,9.0,1.80e+05,2.82e+02,7193,0.34,-8.3,-8.39
F4Ib,7.5,7.86e+03,5.89e+01,7193,0.34,-4.9,-4.99
F4II,6.0,7.81e+02,2.05e+01,6840,0.42,-2.4,-2.48
F4III,4.5,1.96e+01,3.25e+00,6840,0.42,1.6,1.52
F4IV,3.0,1.96e+01,3.25e+00,6840,0.42,1.6,1.52
F4V,1.4,4.50e+00,1.56e+00,6840,0.42,3.2,3.12
F4VI,1.1,1.24e+00,8.17e-01,6840,0.42,4.6,4.52
F5Ia0,10.0,3.74e+05,4.29e+02,7000,0.39,-9.1,-9.18
F5Ia,8.6,1.63e+05,2.83e+02,7000,0.39,-8.2,-8.28
F5Ib,7.1,7.82e+03,6.20e+01,7000,0.39,-4.9,-4.98
F5II,5.7,7.83e+02,2.14e+01,6700,0.46,-2.4,-2.48
F5III,4.3,2.16e+01,3.55e+00,6700,0.46,1.5,1.42
F5IV,2.8,2.16e+01,3.55e+00,6700,0.46,1.5,1.42
F5V,1.4,3.75e+00,1.48e+00,6700,0.46,3.4,3.32
F5VI,1.1,1.03e+00,7.77e-01,6700,0.46,4.8,4.72
F6Ia0,10.0,3.74e+05,4.60e+02,6760,0.44,-9.1,-9.18
F6Ia,8.6,1.49e+05,2.90e+02,6760,0.44,-8.1,-8.18
F6Ib,7.1,7.82e+03,6.64e+01,6760,0.44,-4.9,-4.98
F6II,5.7,7.86e+02,2.24e+01,6560,0.49,-2.4,-2.49
F6III,4.2,2.37e+01,3.89e+00,6560,0.49,1.4,1.31
F6IV,2.8,1.64e+01,3.23e+00,6560,0.49,1.8,1.71
F6V,1.3,3.13e+00,1.41e+00,6560,0.49,3.6,3.51
F6VI,1.0,8.62e-01,7.41e-01,6560,0.49,5.0,4.91
F7Ia0,10.0,4.13e+05,5.19e+02,6520,0.50,-9.2,-9.29
F7Ia,8.5,1.37e+05,2.99e+02,6520,0.50,-8.0,-8.09
F7Ib,7.1,7.18e+03,6.84e+01,6520,0.50,-4.8,-4.89
F7II,5.6,7.91e+02,2.34e+01,6420,0.52,-2.4,-2.50
F7III,4.2,2.62e+01,4.26e+00,6420,0.52,1.3,1.20
F7IV,2.7,1.25e+01,2.95e+00,6420,0.52,2.1,2.00
F7V,1.3,2.62e+00,1.35e+00,6420,0.52,3.8,3.70
F7VI,1.0,7.91e-01,7.41e-01,6420,0.52,5.1,5.00
F8Ia0,10.0,4.19e+05,5.64e+02,6280,0.56,-9.2,-9.31
F8Ia,8.5,1.27e+05,3.10e+02,6280,0.56,-7.9,-8.01
F8Ib,7.1,7.29e+03,7.43e+01,6280,0.56,-4.8,-4.91
F8II,5.6,7.29e+02,2.35e+01,6280,0.56,-2.3,-2.41
F8III,4.1,2.90e+01,4.69e+00,6280,0.56,1.2,01.09
F8IV,2.7,1.05e+01,2.83e+00,6280,0.56,2.3,2.19
F8V,1.2,2.41e+00,1.35e+00,6280,0.56,3.9,3.79
F8VI,1.0,6.65e-01,7.10e-01,6280,0.56,5.3,5.19
F9Ia0,10.0,4.73e+05,6.54e+02,6011,0.63,-9.3,-9.44
F9Ia,8.5,1.30e+05,3.43e+02,6011,0.63,-7.9,-8.04
F9Ib,7.0,6.84e+03,7.86e+01,6011,0.63,-4.7,-4.84
F9II,5.6,7.39e+02,2.48e+01,6140,0.60,-2.3,-2.42
F9III,4.1,3.22e+01,5.17e+00,6140,0.60,1.1,0.98
F9IV,2.6,8.10e+00,2.59e+00,6140,0.60,2.6,2.48
F9V,1.1,2.03e+00,1.30e+00,6140,0.60,4.1,3.98
F9VI,0.9,6.14e-01,7.14e-01,6140,0.60,5.4,5.28
G0Ia0,10.0,4.95e+05,7.32e+02,5743,0.70,-9.3,-9.49
G0Ia,6.3,1.24e+05,3.67e+02,5743,0.70,-7.8,-7.99
G0Ib,2.5,7.15e+03,8.81e+01,5743,0.70,-4.7,-4.89
G0II,2.1,7.84e+02,2.92e+01,5743,0.70,-2.3,-2.49
G0III,1.8,3.75e+01,6.38e+00,5743,0.70,1.0,0.81
G0IV,1.4,6.25e+00,2.38e+00,6000,0.63,2.9,2.76
G0V,1.1,1.72e+00,1.25e+00,6000,0.63,4.3,4.16
G0VI,0.9,5.20e-01,6.88e-01,6000,0.63,5.6,5.46
G1Ia0,10.5,5.27e+05,8.32e+02,5474,0.78,-9.3,-9.55
G1Ia,6.6,1.32e+05,4.17e+02,5474,0.78,-7.8,-8.05
G1Ib,2.6,7.62e+03,1.00e+02,5474,0.78,-4.7,-4.95
G1II,2.2,8.35e+02,3.31e+01,5474,0.78,-2.3,-2.55
G1III,1.8,4.38e+01,7.59e+00,5474,0.78,0.9,0.65
G1IV,1.4,6.35e+00,2.50e+00,5890,0.66,2.9,2.74
G1V,1.0,1.46e+00,1.19e+00,5890,0.66,4.5,4.34
G1VI,0.9,4.40e-01,6.56e-01,5890,0.66,5.8,5.64
G2Ia0,11.0,5.73e+05,9.59e+02,5206,0.86,-9.3,-9.65
G2Ia,6.9,1.31e+05,4.59e+02,5206,0.86,-7.7,-8.05
G2Ib,2.8,8.29e+03,1.15e+02,5206,0.86,-4.7,-5.05
G2II,2.3,9.09e+02,3.82e+01,5206,0.86,-2.3,-2.65
G2III,1.9,5.23e+01,9.16e+00,5206,0.86,0.8,0.45
G2IV,1.4,6.48e+00,2.62e+00,5780,0.69,2.9,2.72
G2V,1.0,1.23e+00,1.14e+00,5780,0.69,4.7,4.52
G2VI,0.9,3.73e-01,6.28e-01,5780,0.69,6.0,5.82
G3Ia0,11.5,7.03e+05,1.18e+03,4937,0.94,-9.4,-9.87
G3Ia,7.2,1.47e+05,5.40e+02,4937,0.94,-7.7,-8.17
G3Ib,2.9,8.46e+03,1.30e+02,4937,0.94,-4.6,-5.07
G3II,2.4,1.11e+03,4.70e+01,4937,0.94,-2.4,-2.87
G3III,1.9,7.03e+01,1.18e+01,4937,0.94,0.6,0.13
G3IV,1.5,6.04e+00,2.63e+00,5670,0.72,3.0,2.80
G3V,1.0,1.15e+00,1.15e+00,5670,0.72,4.8,4.60
G3VI,0.8,3.48e-01,6.30e-01,5670,0.72,6.1,5.90
G4Ia0,12.0,8.13e+05,1.42e+03,4669,01.03,-9.4,-10.02
G4Ia,7.5,1.70e+05,6.49e+02,4669,01.03,-7.7,-8.32
G4Ib,3.0,9.77e+03,1.56e+02,4669,01.03,-4.6,-5.22
G4II,2.5,1.29e+03,5.65e+01,4669,01.03,-2.4,-3.02
G4III,2.0,8.91e+01,1.49e+01,4669,01.03,0.5,-0.12
G4IV,1.5,6.20e+00,2.76e+00,5560,0.75,3.0,2.77
G4V,0.9,9.82e-01,1.10e+00,5560,0.75,5.0,4.77
G4VI,0.8,2.97e-01,6.05e-01,5560,0.75,6.3,06.07
G5Ia0,12.5,1.07e+06,1.84e+03,4400,1.13,-9.5,-10.33
G5Ia,7.8,1.86e+05,7.66e+02,4400,1.13,-7.6,-8.43
G5Ib,3.2,1.18e+04,1.92e+02,4400,1.13,-4.6,-5.43
G5II,2.6,1.55e+03,6.99e+01,4400,1.13,-2.4,-3.23
G5III,2.0,1.18e+02,1.92e+01,4400,1.13,0.4,-0.43
G5IV,1.5,6.38e+00,2.92e+00,5450,0.79,3.0,2.74
G5V,0.9,8.41e-01,1.06e+00,5450,0.79,5.2,4.94
G5VI,0.8,2.54e-01,5.83e-01,5450,0.79,6.5,6.24
G6Ia0,12.5,1.12e+06,1.93e+03,4343,1.15,-9.5,-10.38
G6Ia,7.9,1.95e+05,8.04e+02,4343,1.15,-7.6,-8.48
G6Ib,3.3,1.23e+04,2.02e+02,4343,1.15,-4.6,-5.48
G6II,2.7,1.62e+03,7.33e+01,4343,1.15,-2.4,-3.28
G6III,2.1,1.23e+02,2.02e+01,4343,1.15,0.4,-0.48
G6IV,1.5,6.59e+00,3.09e+00,5340,0.82,3.0,2.70
G6V,0.9,7.92e-01,1.07e+00,5340,0.82,5.3,5.00
G6VI,0.8,2.18e-01,5.62e-01,5340,0.82,6.7,6.40
G7Ia0,12.5,1.18e+06,2.03e+03,4286,1.17,-9.5,-10.43
G7Ia,8.0,2.05e+05,8.46e+02,4286,1.17,-7.6,-8.53
G7Ib,3.5,1.29e+04,2.12e+02,4286,1.17,-4.6,-5.53
G7II,2.8,1.70e+03,7.71e+01,4286,1.17,-2.4,-3.33
G7III,2.2,1.29e+02,2.12e+01,4286,1.17,0.4,-0.53
G7IV,1.5,6.84e+00,3.28e+00,5230,0.85,3.0,2.66
G7V,0.9,6.84e-01,1.04e+00,5230,0.85,5.5,5.16
G7VI,0.7,2.06e-01,5.70e-01,5230,0.85,6.8,6.46
G8Ia0,12.5,1.13e+06,2.04e+03,4229,1.19,-9.4,-10.38
G8Ia,8.1,1.96e+05,8.51e+02,4229,1.19,-7.5,-8.48
G8Ib,3.6,1.49e+04,2.34e+02,4229,1.19,-4.7,-5.68
G8II,2.9,1.96e+03,8.51e+01,4229,1.19,-2.5,-3.48
G8III,2.2,1.24e+02,2.14e+01,4229,1.19,0.5,-0.48
G8IV,1.5,6.50e+00,3.34e+00,5120,0.89,3.1,2.72
G8V,0.8,6.50e-01,1.06e+00,5120,0.89,5.6,5.22
G8VI,0.7,1.79e-01,5.54e-01,5120,0.89,7.0,6.62
G9Ia0,12.5,1.19e+06,2.16e+03,4171,1.21,-9.4,-10.44
G9Ia,8.1,2.07e+05,8.98e+02,4171,1.21,-7.5,-8.54
G9Ib,3.8,1.57e+04,2.47e+02,4171,1.21,-4.7,-5.74
G9II,3.0,2.07e+03,8.98e+01,4171,1.21,-2.5,-3.54
G9III,2.3,1.31e+02,2.26e+01,4171,1.21,0.5,-0.54
G9IV,1.6,6.80e+00,3.57e+00,5010,0.92,3.1,2.67
G9V,0.8,5.66e-01,1.03e+00,5010,0.92,5.8,5.37
G9VI,0.7,1.71e-01,5.66e-01,5010,0.92,7.1,6.67
K0Ia0,12.5,1.26e+06,2.28e+03,4114,1.24,-9.4,-10.50
K0Ia,8.2,2.19e+05,9.50e+02,4114,1.24,-7.5,-8.60
K0Ib,3.9,1.66e+04,2.62e+02,4114,1.24,-4.7,-5.80
K0II,3.1,2.19e+03,9.50e+01,4114,1.24,-2.5,-3.60
K0III,2.3,1.38e+02,2.39e+01,4114,1.24,0.5,-0.60
K0IV,1.6,7.16e+00,3.83e+00,4900,0.96,3.1,2.61
K0V,0.8,5.43e-01,1.05e+00,4900,0.96,5.9,5.41
K0VI,0.7,1.50e-01,5.53e-01,4900,0.96,7.3,6.81
K1Ia0,12.5,1.22e+06,2.30e+03,4057,1.26,-9.3,-10.47
K1Ia,8.3,2.12e+05,9.60e+02,4057,1.26,-7.4,-8.57
K1Ib,4.1,1.76e+04,2.77e+02,4057,1.26,-4.7,-5.87
K1II,3.3,2.32e+03,1.01e+02,4057,1.26,-2.5,-3.67
K1III,2.4,1.61e+02,2.64e+01,4057,1.26,0.4,-0.77
K1IV,1.6,7.71e+00,4.21e+00,4760,1.00,3.1,2.53
K1V,0.8,4.43e-01,1.01e+00,4760,1.00,6.2,5.63
K1VI,0.6,1.34e-01,5.55e-01,4760,1.00,7.5,6.93
K2Ia0,13.3,1.30e+06,2.44e+03,4000,1.28,-9.3,-10.53
K2Ia,8.8,2.25e+05,1.02e+03,4000,1.28,-7.4,-8.63
K2Ib,4.3,2.06e+04,3.08e+02,4000,1.28,-4.8,-6.03
K2II,3.4,2.47e+03,1.07e+02,4000,1.28,-2.5,-3.73
K2III,2.5,2.06e+02,3.08e+01,4000,1.28,0.2,-1.03
K2IV,1.6,8.38e+00,4.66e+00,4620,01.05,3.1,2.44
K2V,0.7,4.01e-01,1.02e+00,4620,01.05,6.4,5.74
K2VI,0.6,1.21e-01,5.60e-01,4620,01.05,7.7,07.04
K3Ia0,14.2,1.46e+06,2.72e+03,3900,1.32,-9.3,-10.66
K3Ia,9.4,2.53e+05,1.14e+03,3900,1.32,-7.4,-8.76
K3Ib,4.6,2.53e+04,3.59e+02,3900,1.32,-4.9,-6.26
K3II,3.6,2.77e+03,1.19e+02,3900,1.32,-2.5,-3.86
K3III,2.6,2.53e+02,3.59e+01,3900,1.32,0.1,-1.26
K3IV,1.7,9.22e+00,5.19e+00,4480,1.10,3.1,2.34
K3V,0.7,3.35e-01,9.90e-01,4480,1.10,6.7,5.94
K3VI,0.6,1.01e-01,5.44e-01,4480,1.10,8.0,7.24
K4Ia0,15.0,1.65e+06,3.06e+03,3800,1.36,-9.3,-10.80
K4Ia,9.9,2.62e+05,1.22e+03,3800,1.36,-7.3,-8.80
K4Ib,4.8,3.15e+04,4.22e+02,3800,1.36,-5.0,-6.50
K4II,3.8,3.15e+03,1.33e+02,3800,1.36,-2.5,-4.00
K4III,2.7,3.45e+02,4.42e+01,3800,1.36,-0.1,-1.60
K4IV,1.7,1.03e+01,5.84e+00,4340,1.15,3.1,2.22
K4V,0.7,3.10e-01,1.02e+00,4340,1.15,6.9,06.02
K4VI,0.5,9.36e-02,5.58e-01,4340,1.15,8.2,7.32
K5Ia0,15.8,1.90e+06,3.46e+03,3700,1.41,-9.3,-10.95
K5Ia,10.4,3.01e+05,1.38e+03,3700,1.41,-7.3,-8.95
K5Ib,5.0,3.96e+04,4.99e+02,3700,1.41,-5.1,-6.75
K5II,3.9,3.62e+03,1.51e+02,3700,1.41,-2.5,-4.15
K5III,2.8,4.35e+02,5.23e+01,3700,1.41,-0.2,-1.85
K5IV,1.8,1.06e+01,6.33e+00,4200,1.20,3.2,2.19
K5V,0.7,2.66e-01,1.00e+00,4200,1.20,7.2,6.19
K5VI,0.5,8.80e-02,5.78e-01,4200,1.20,8.4,7.39
K6Ia0,15.8,1.85e+06,3.38e+03,3717,1.40,-9.3,-10.92
K6Ia,10.6,2.94e+05,1.35e+03,3717,1.40,-7.3,-8.92
K6Ib,5.3,4.24e+04,5.12e+02,3717,1.40,-5.2,-6.82
K6II,4.2,3.53e+03,1.48e+02,3717,1.40,-2.5,-4.12
K6III,3.0,4.65e+02,5.36e+01,3717,1.40,-0.3,-1.92
K6IV,1.8,1.22e+01,7.26e+00,4060,1.26,3.2,02.04
K6V,0.6,2.11e-01,9.57e-01,4060,1.26,7.6,6.44
K6VI,0.5,7.67e-02,5.77e-01,4060,1.26,8.7,7.54
K7Ia0,15.8,1.81e+06,3.32e+03,3733,1.39,-9.3,-10.89
K7Ia,10.7,2.62e+05,1.26e+03,3733,1.39,-7.2,-8.79
K7Ib,5.7,4.55e+04,5.26e+02,3733,1.39,-5.3,-6.89
K7II,4.4,3.45e+03,1.45e+02,3733,1.39,-2.5,-4.09
K7III,3.1,4.99e+02,5.50e+01,3733,1.39,-0.4,-1.99
K7IV,1.9,1.42e+01,8.43e+00,3920,1.31,3.2,1.87
K7V,0.6,1.87e-01,9.67e-01,3920,1.31,7.9,6.57
K7VI,0.4,6.80e-02,5.83e-01,3920,1.31,9.0,7.67
K8Ia0,15.8,1.77e+06,3.25e+03,3750,1.38,-9.3,-10.87
K8Ia,10.9,2.56e+05,1.23e+03,3750,1.38,-7.2,-8.77
K8Ib,6.0,4.44e+04,5.15e+02,3750,1.38,-5.3,-6.87
K8II,4.6,3.69e+03,1.48e+02,3750,1.38,-2.6,-4.17
K8III,3.3,5.34e+02,5.64e+01,3750,1.38,-0.5,-2.07
K8IV,1.9,1.70e+01,9.90e+00,3780,1.37,3.2,1.68
K8V,0.6,1.55e-01,9.46e-01,3780,1.37,8.3,6.78
K8VI,0.3,5.62e-02,5.70e-01,3780,1.37,9.4,7.88
K9Ia0,15.8,1.83e+06,3.35e+03,3725,1.39,-9.3,-10.91
K9Ia,11.1,2.65e+05,1.27e+03,3725,1.39,-7.2,-8.81
K9Ib,6.3,5.04e+04,5.56e+02,3725,1.39,-5.4,-7.01
K9II,4.9,3.83e+03,1.53e+02,3725,1.39,-2.6,-4.21
K9III,3.4,6.06e+02,6.09e+01,3725,1.39,-0.6,-2.21
K9IV,2.0,2.07e+01,1.18e+01,3640,1.43,3.2,1.46
K9V,0.5,1.44e-01,9.82e-01,3640,1.43,8.6,6.86
K9VI,0.3,4.33e-02,5.40e-01,3640,1.43,9.9,8.16
M0Ia0,15.8,1.90e+06,3.46e+03,3700,1.41,-9.3,-10.95
M0Ia,13.3,2.74e+05,1.31e+03,3700,1.41,-7.2,-8.85
M0Ib,10.7,5.73e+04,6.00e+02,3700,1.41,-5.5,-7.15
M0II,8.2,3.96e+03,1.58e+02,3700,1.41,-2.6,-4.25
M0III,5.6,6.89e+02,6.58e+01,3700,1.41,-0.7,-2.35
M0IV,3.1,2.60e+01,1.43e+01,3500,1.49,3.2,1.21
M0V,0.5,1.25e-01,9.90e-01,3500,1.49,9.0,07.01
M0VI,0.2,3.76e-02,5.44e-01,3500,1.49,10.3,8.31
M1Ia0,15.1,2.56e+06,4.46e+03,3510,1.49,-9.3,-11.27
M1Ia,12.7,3.37e+05,1.62e+03,3510,1.49,-7.1,-9.07
M1Ib,10.2,7.73e+04,7.75e+02,3510,1.49,-5.5,-7.47
M1II,7.8,5.86e+03,2.13e+02,3510,1.49,-2.7,-4.67
M1III,5.3,9.29e+02,8.50e+01,3510,1.49,-0.7,-2.67
M1IV,2.9,3.55e+01,1.84e+01,3333,1.57,3.2,0.87
M1V,0.5,6.18e-02,7.68e-01,3333,1.57,10.1,7.77
M1VI,0.2,1.86e-02,4.22e-01,3333,1.57,11.4,09.07
M2Ia0,14.5,3.65e+06,5.95e+03,3320,1.58,-9.3,-11.66
M2Ia,12.1,4.81e+05,2.16e+03,3320,1.58,-7.1,-9.46
M2Ib,9.8,1.10e+05,1.03e+03,3320,1.58,-5.5,-7.86
M2II,7.4,8.36e+03,2.85e+02,3320,1.58,-2.7,-5.06
M2III,5.1,1.21e+03,1.08e+02,3320,1.58,-0.6,-2.96
M2IV,2.7,5.09e+01,2.44e+01,3167,1.65,3.2,0.48
M2V,0.4,3.21e-02,6.14e-01,3167,1.65,11.2,8.48
M2VI,0.2,8.85e-03,3.22e-01,3167,1.65,12.6,9.88
M3Ia0,13.8,5.07e+06,7.89e+03,3130,1.67,-9.2,-12.01
M3Ia,11.6,7.33e+05,3.00e+03,3130,1.67,-7.1,-9.91
M3Ib,9.3,1.68e+05,1.44e+03,3130,1.67,-5.5,-8.31
M3II,7.1,1.40e+04,4.14e+02,3130,1.67,-2.8,-5.61
M3III,4.8,1.84e+03,1.50e+02,3130,1.67,-0.6,-3.41
M3IV,2.6,7.76e+01,3.36e+01,3000,1.74,3.2,0.02
M3V,0.3,1.78e-02,5.09e-01,3000,1.74,12.3,9.12
M3VI,0.2,4.90e-03,2.67e-01,3000,1.74,13.7,10.52
M4Ia0,13.2,8.38e+06,1.15e+04,2940,1.77,-9.2,-12.56
M4Ia,11.0,1.10e+06,4.18e+03,2940,1.77,-7.0,-10.36
M4Ib,8.9,2.77e+05,2.09e+03,2940,1.77,-5.5,-8.86
M4II,6.7,2.31e+04,6.04e+02,2940,1.77,-2.8,-6.16
M4III,4.6,2.77e+03,2.09e+02,2940,1.77,-0.5,-3.86
M4IV,2.4,1.27e+02,4.83e+01,2833,1.83,3.2,-0.51
M4V,0.3,1.06e-02,4.40e-01,2833,1.83,13.4,9.69
M4VI,0.1,2.66e-03,2.21e-01,2833,1.83,14.9,11.19
M5Ia0,12.5,1.53e+07,1.78e+04,2750,1.88,-9.2,-13.21
M5Ia,10.5,2.02e+06,6.45e+03,2750,1.88,-7.0,-11.01
M5Ib,8.4,5.07e+05,3.23e+03,2750,1.88,-5.5,-9.51
M5II,6.4,4.62e+04,9.76e+02,2750,1.88,-2.9,-6.91
M5III,4.3,5.07e+03,3.23e+02,2750,1.88,-0.5,-4.51
M5IV,2.3,2.07e+02,6.94e+01,2667,1.93,3.3,-1.04
M5V,0.2,6.24e-03,3.81e-01,2667,1.93,14.6,10.26
M5VI,0.1,1.72e-03,2.00e-01,2667,1.93,16.0,11.66
M6Ia0,12.4,2.88e+07,2.81e+04,2560,2.00,-9.1,-13.90
M6Ia,10.3,4.17e+06,1.07e+04,2560,2.00,-7.0,-11.80
M6Ib,8.3,9.55e+05,5.12e+03,2560,2.00,-5.4,-10.20
M6II,6.3,9.55e+04,1.62e+03,2560,2.00,-2.9,-7.70
M6III,4.2,9.55e+03,5.12e+02,2560,2.00,-0.4,-5.20
M6IV,2.2,4.10e+02,1.11e+02,2500,02.03,3.3,-1.78
M6V,0.2,4.50e-03,3.68e-01,2500,02.03,15.7,10.62
M6VI,0.1,1.63e-03,2.22e-01,2500,02.03,16.8,11.72
M7Ia0,12.3,6.96e+07,5.10e+04,2370,2.12,-9.1,-14.86
M7Ia,10.2,9.18e+06,1.85e+04,2370,2.12,-6.9,-12.66
M7Ib,8.2,2.10e+06,8.87e+03,2370,2.12,-5.3,-11.06
M7II,6.2,2.53e+05,3.07e+03,2370,2.12,-3.0,-8.76
M7III,4.2,2.10e+04,8.87e+02,2370,2.12,-0.3,-6.06
M7IV,2.1,9.26e+02,1.92e+02,2333,2.14,3.3,-2.67
M7V,0.1,3.69e-03,3.83e-01,2333,2.14,16.8,10.83
M7VI,0.1,1.94e-03,2.78e-01,2333,2.14,17.5,11.53
M8Ia0,12.1,2.05e+08,1.03e+05,2180,2.25,-9.1,-16.03
M8Ia,10.1,2.70e+07,3.76e+04,2180,2.25,-6.9,-13.83
M8Ib,8.1,5.15e+06,1.64e+04,2180,2.25,-5.1,-12.03
M8II,6.1,7.44e+05,6.23e+03,2180,2.25,-3.0,-9.93
M8III,4.1,5.15e+04,1.64e+03,2180,2.25,-0.1,-7.03
M8IV,2.1,2.44e+03,3.61e+02,2167,2.26,3.3,-3.72
M8V,0.1,3.53e-03,4.34e-01,2167,2.26,17.9,10.88
M8VI,0.1,2.44e-03,3.61e-01,2167,2.26,18.3,11.28
M9Ia0,12.0,7.11e+08,2.31e+05,1990,2.40,-9.0,-17.38
M9Ia,10.0,1.03e+08,8.79e+04,1990,2.40,-6.9,-15.28
M9Ib,8.0,1.79e+07,3.67e+04,1990,2.40,-5.0,-13.38
M9II,6.0,2.83e+06,1.46e+04,1990,2.40,-3.0,-11.38
M9III,4.1,1.79e+05,3.67e+03,1990,2.40,0.0,-8.38
M9IV,2.1,7.91e+03,7.64e+02,2000,2.39,3.3,-5.00
M9V,0.1,4.15e-03,5.53e-01,2000,2.39,19.0,10.70
M9VI,0.1,4.15e-03,5.53e-01,2000,2.39,19.0,10.70